sentence1,label
Profissionais da saúde trabalham sem descanso para vacinar contra febre amarela em Minas https://t.co/TpiADzAN9M https://t.co/DaIkMyoLyb,2
"PM prende rapaz por vadiagem e uso de drogas no Centro de Raul Soares, MG https://t.co/PhTOQtEawh https://t.co/yEBQp6Hz4x",2
"@em_com MG, o estado da idade do ferro, e sua capital",1
@PMMG190 - 21° BPM  UBÁ  PM APREENDE DROGAS https://t.co/gcCWK7qNXm,2
Vacinação contra febre amarela é intensificada na zona rural de Uberaba https://t.co/k1WuuDIhq7 https://t.co/Y9SpnpZTjr,2
"I'm at Mercado Municipal in Governador Valadares, Minas Gerais https://t.co/TL1QGwUTaC",1
"Piora da crise política barra avanço do programa de renovação, diz Fenabrave - Estado de Minas https://t.co/N0yy9M2ONK",1
PM prende jovens com drogas e tornozeleira eletrônica em Corinto https://t.co/nFrunvqeTH,2
"RT @predocindio: 1- Ontem eu encontrei um amigo que está no governo de Minas.  - Pedro, o q vc acha da comunicação do governo e do governad…",1
Fa como 28 Mg tiene ese Estado que tire para el �� hay diosss *-*,1
RT @cyrusxotao: 42- o japão é menor do que o estado de minas gerais. https://t.co/QNLUhWQzIS,1
Que le hable a las que le dieron MG a su estado en Facebook �,1
A foto não seria a dos governadores ANASTAZIA e AÉCIO? https://t.co/fUwRaRqfts via @folha_com,1
#ForçaMichael O atacante Michael sofreu um traumatismo craniano após colidir com uma vaca em Minas e está em estado… https://t.co/dja4NqF1ZD,1
Polícia Civil identifica suspeito de roubo a ônibus em Juiz de Fora  https://t.co/JB81zshZwr,2
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
"Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/SLFCLHsrFo https://t.co/LZ3yCzJkeb",2
Homem é morto a tiros após deixar presídio em Governador Valadares  https://t.co/DeLXVhRg5I,1
Operação contra furto e roubo é realizada em Patos de Minas https://t.co/np2gadyzdM https://t.co/AMy7tsvruF,2
RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.   htt…,0
RT @agenciabrasil: Rio distribui vacinas contra febre amarela a municípios na divisa com Minas https://t.co/zl1nLQJLNW https://t.co/Pd7aXE0…,2
Ministério da Saúde reforça distribuição de vacinas contra a febre amarela https://t.co/IDG1kn3uvp,2
RT @acuarioLourdes: @IPAFARMA @Avivasa1965 buenos días. Tienen stalevo de 100 mg. Vivo en el Estado Nueva Espsrta,1
"RT @edmarnarrador: É grave o estado de saúde do atacante Michael, que disputou o Brasileirão pelo América/MG. O carro em que estava colidiu…",1
"RT @JornalOGlobo: Com três anos, presídio privado em Minas Gerais não teve rebeliões. https://t.co/GHIgjPjCAC https://t.co/s9yOwjCAmu",2
"RT @cassiagontijo: @AcordouAcordou Minas está linda, recheada de mineiros e mineiras gente boa, o problema é o governo de MG.",0
"@Vicente_Q_Filho @OnlyKetanAmr @c0nvey Esses R$ 21,8 Milhões NÃO poderiam ser INVESTIDOS na saúde e educação do Estado de MG !!!???",0
@1chathais Também não acreditei. O Estado de Minas pulicou que estão estudando implantar uma unidade,0
"RT @OGloboPolitica: Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/Pls2dpH7j4 https://t.co/7u5I9Kqa1F",2
@PMMG190 - Polícia Militar prende autor de tráfico de drogas em Ouro Preto (MG) https://t.co/6gIV0vUE4P,2
